EcologExpTime,PlateCode,C -Source,Well,OD700,WellNr,Date,Time
40,1,D L-_-Glycerol Phosphate,H2,0.051,30,16/06/2012,16:59:43
40,1,D-Malic Acid,H3,0.04,31,16/06/2012,16:59:43
40,1,Putrescine,H4,0.043,32,16/06/2012,16:59:43
40,1,Water,A1,0.049,33,16/06/2012,16:59:43
40,1,_-Methyl-D-Glucoside,A2,0.042,34,16/06/2012,16:59:43
40,1,D-Galactonic Acid _-Lactone,A3,0.04,35,16/06/2012,16:59:43
40,1,L-Arginine,A4,0.059,36,16/06/2012,16:59:43
40,1,Pyruvic Acid Methyl Ester,B1,0.053,37,16/06/2012,16:59:43
40,1,D-Xylose,B2,0.044,38,16/06/2012,16:59:43
40,1,D-Galacturonic Acid,B3,0.042,39,16/06/2012,16:59:43
40,1,L-Asparagine,B4,0.04,40,16/06/2012,16:59:43
40,1,Tween 40,C1,0.066,41,16/06/2012,16:59:43
40,1,i-Erythritol,C2,0.04,42,16/06/2012,16:59:43
40,1,2-Hydroxy Benzoic Acid,C3,0.039,43,16/06/2012,16:59:43
40,1,L-Phenylalanine,C4,0.039,44,16/06/2012,16:59:43
40,1,Tween 80,D1,0.053,45,16/06/2012,16:59:43
40,1,D-Mannitol,D2,0.041,46,16/06/2012,16:59:43
40,1,4-Hydroxy Benzoic Acid,D3,0.042,47,16/06/2012,16:59:43
40,1,L-Serine,D4,0.044,48,16/06/2012,16:59:43
40,1,_-Cyclodextrin,E1,0.042,49,16/06/2012,16:59:43
40,1,N-Acetyl-D-Glucosamine,E2,0.041,50,16/06/2012,16:59:43
40,1,_-Hydroxybutyric Acid,E3,0.04,51,16/06/2012,16:59:43
40,1,L-Threonine,E4,0.04,52,16/06/2012,16:59:43
40,1,Glycogen,F1,0.043,53,16/06/2012,16:59:43
40,1,D-Glucosaminic Acid,F2,0.039,54,16/06/2012,16:59:43
40,1,Itaconic Acid,F3,0.043,55,16/06/2012,16:59:43
40,1,Glycyl-L-Glutamic Acid,F4,0.04,56,16/06/2012,16:59:43
40,1,D-Cellobiose,G1,0.043,57,16/06/2012,16:59:43
40,1,Glucose-1-Phosphate,G2,0.042,58,16/06/2012,16:59:43
40,1,_-Ketobutyric Acid,G3,0.049,59,16/06/2012,16:59:43
40,1,Phenylethyl-amine,G4,0.044,60,16/06/2012,16:59:43
40,1,_-D-Lactose,H1,0.049,61,16/06/2012,16:59:43
40,1,D L-_-Glycerol Phosphate,H2,0.04,62,16/06/2012,16:59:43
40,1,D-Malic Acid,H3,0.04,63,16/06/2012,16:59:43
40,1,Putrescine,H4,0.041,64,16/06/2012,16:59:43
40,1,Water,A1,0.049,65,16/06/2012,16:59:43
40,1,_-Methyl-D-Glucoside,A2,0.039,66,16/06/2012,16:59:43
40,1,D-Galactonic Acid _-Lactone,A3,0.041,67,16/06/2012,16:59:43
40,1,L-Arginine,A4,0.04,68,16/06/2012,16:59:43
40,1,Pyruvic Acid Methyl Ester,B1,0.05,69,16/06/2012,16:59:43
40,1,D-Xylose,B2,0.044,70,16/06/2012,16:59:43
40,1,D-Galacturonic Acid,B3,0.04,71,16/06/2012,16:59:43
40,1,L-Asparagine,B4,0.045,72,16/06/2012,16:59:43
40,1,Tween 40,C1,0.04,73,16/06/2012,16:59:43
40,1,i-Erythritol,C2,0.041,74,16/06/2012,16:59:43
40,1,2-Hydroxy Benzoic Acid,C3,0.041,75,16/06/2012,16:59:43
40,1,L-Phenylalanine,C4,0.041,76,16/06/2012,16:59:43
40,1,Tween 80,D1,0.042,77,16/06/2012,16:59:43
40,1,D-Mannitol,D2,0.043,78,16/06/2012,16:59:43
40,1,4-Hydroxy Benzoic Acid,D3,0.044,79,16/06/2012,16:59:43
40,1,L-Serine,D4,0.045,80,16/06/2012,16:59:43
40,1,_-Cyclodextrin,E1,0.042,81,16/06/2012,16:59:43
40,1,N-Acetyl-D-Glucosamine,E2,0.081,82,16/06/2012,16:59:43
40,1,_-Hydroxybutyric Acid,E3,0.042,83,16/06/2012,16:59:43
40,1,L-Threonine,E4,0.043,84,16/06/2012,16:59:43
40,1,Glycogen,F1,0.043,85,16/06/2012,16:59:43
40,1,D-Glucosaminic Acid,F2,0.041,86,16/06/2012,16:59:43
40,1,Itaconic Acid,F3,0.043,87,16/06/2012,16:59:43
40,1,Glycyl-L-Glutamic Acid,F4,0.042,88,16/06/2012,16:59:43
40,1,D-Cellobiose,G1,0.04,89,16/06/2012,16:59:43
40,1,Glucose-1-Phosphate,G2,0.041,90,16/06/2012,16:59:43
40,1,_-Ketobutyric Acid,G3,0.041,91,16/06/2012,16:59:43
40,1,Phenylethyl-amine,G4,0.04,92,16/06/2012,16:59:43
40,1,_-D-Lactose,H1,0.043,93,16/06/2012,16:59:43
40,1,D L-_-Glycerol Phosphate,H2,0.043,94,16/06/2012,16:59:43
40,1,D-Malic Acid,H3,0.042,95,16/06/2012,16:59:43
40,1,Putrescine,H4,0.044,96,16/06/2012,16:59:43
46,1,Water,A1,0.043,1,16/06/2012,22:15:43
46,1,_-Methyl-D-Glucoside,A2,0.045,2,16/06/2012,22:15:43
46,1,D-Galactonic Acid _-Lactone,A3,0.043,3,16/06/2012,22:15:43
46,1,L-Arginine,A4,0.046,4,16/06/2012,22:15:43
46,1,Pyruvic Acid Methyl Ester,B1,0.045,5,16/06/2012,22:15:43
46,1,D-Xylose,B2,0.042,6,16/06/2012,22:15:43
46,1,D-Galacturonic Acid,B3,0.044,7,16/06/2012,22:15:43
46,1,L-Asparagine,B4,0.067,8,16/06/2012,22:15:43
46,1,Tween 40,C1,0.043,9,16/06/2012,22:15:43
46,1,i-Erythritol,C2,0.042,10,16/06/2012,22:15:43
46,1,2-Hydroxy Benzoic Acid,C3,0.042,11,16/06/2012,22:15:43
46,1,L-Phenylalanine,C4,0.045,12,16/06/2012,22:15:43
46,1,Tween 80,D1,0.043,13,16/06/2012,22:15:43
46,1,D-Mannitol,D2,0.055,14,16/06/2012,22:15:43
46,1,4-Hydroxy Benzoic Acid,D3,0.043,15,16/06/2012,22:15:43
46,1,L-Serine,D4,0.044,16,16/06/2012,22:15:43
46,1,_-Cyclodextrin,E1,0.041,17,16/06/2012,22:15:43
46,1,N-Acetyl-D-Glucosamine,E2,0.052,18,16/06/2012,22:15:43
46,1,_-Hydroxybutyric Acid,E3,0.04,19,16/06/2012,22:15:43
46,1,L-Threonine,E4,0.041,20,16/06/2012,22:15:43
46,1,Glycogen,F1,0.045,21,16/06/2012,22:15:43
46,1,D-Glucosaminic Acid,F2,0.045,22,16/06/2012,22:15:43
46,1,Itaconic Acid,F3,0.118,23,16/06/2012,22:15:43
46,1,Glycyl-L-Glutamic Acid,F4,0.043,24,16/06/2012,22:15:43
46,1,D-Cellobiose,G1,0.055,25,16/06/2012,22:15:43
46,1,Glucose-1-Phosphate,G2,0.042,26,16/06/2012,22:15:43
46,1,_-Ketobutyric Acid,G3,0.042,27,16/06/2012,22:15:43
46,1,Phenylethyl-amine,G4,0.041,28,16/06/2012,22:15:43
46,1,_-D-Lactose,H1,0.14,29,16/06/2012,22:15:43
46,1,D L-_-Glycerol Phosphate,H2,0.051,30,16/06/2012,22:15:43
46,1,D-Malic Acid,H3,0.04,31,16/06/2012,22:15:43
46,1,Putrescine,H4,0.043,32,16/06/2012,22:15:43
46,1,Water,A1,0.049,33,16/06/2012,22:15:43
46,1,_-Methyl-D-Glucoside,A2,0.042,34,16/06/2012,22:15:43
46,1,D-Galactonic Acid _-Lactone,A3,0.04,35,16/06/2012,22:15:43
46,1,L-Arginine,A4,0.059,36,16/06/2012,22:15:43
46,1,Pyruvic Acid Methyl Ester,B1,0.053,37,16/06/2012,22:15:43
46,1,D-Xylose,B2,0.056,38,16/06/2012,22:15:43
46,1,D-Galacturonic Acid,B3,0.042,39,16/06/2012,22:15:43
46,1,L-Asparagine,B4,0.039,40,16/06/2012,22:15:43
46,1,Tween 40,C1,0.072,41,16/06/2012,22:15:43
46,1,i-Erythritol,C2,0.04,42,16/06/2012,22:15:43
46,1,2-Hydroxy Benzoic Acid,C3,0.039,43,16/06/2012,22:15:43
46,1,L-Phenylalanine,C4,0.04,44,16/06/2012,22:15:43
