"BOT"	"Lake"	"Sampling"	"DIL"	"effN"	"PD"
"74"	32	"Lake 3"	28.06	"07"	2.7714018454729	2.35501948209079
"75"	33	"Lake 3"	28.06	"08"	4.31943980263309	3.37162286053
"76"	34	"Lake 3"	28.06	"09"	5.12544685361601	3.31294459433009
"77"	35	"Lake 3"	28.06	"10"	2.07414457320541	1.89219505105707
"78"	36	"Lake 3"	28.06	"S"	8.60459318601563	4.38722806660769
"79"	37	"Lake 1"	28.06	"0"	10.8306334938123	6.52619127876122
"80"	38	"Lake 1"	28.06	"01"	9.11732118643589	5.56573914771044
"81"	39	"Lake 1"	28.06	"02"	8.92078493274476	3.75625057599118
"82"	40	"Lake 1"	28.06	"03"	7.34665209088517	3.16765423147723
"83"	41	"Lake 1"	28.06	"04"	6.42637298539255	3.29407750759084
"84"	6	"Lake 4"	28.06	"05"	3.87429951851315	3.18184727708703
"85"	42	"Lake 1"	28.06	"05"	5.82996650561859	2.81745952207818
"86"	43	"Lake 1"	28.06	"06"	3.51608175578164	2.46536787743276
"87"	44	"Lake 1"	28.06	"07"	3.14727549633348	2.50434262354143
"88"	45	"Lake 1"	28.06	"08"	2.8222245594807	1.68522687226575
"89"	46	"Lake 1"	28.06	"09"	2.90819492550472	1.29625592382828
"90"	47	"Lake 1"	28.06	"10"	2.50549584430307	1.3717033061203
"91"	48	"Lake 1"	28.06	"S"	2.10810840921288	1.40074423130904
"92"	1	"Lake 4"	12.07	"0"	22.9635035996344	9.11274281484851
"93"	2	"Lake 4"	12.07	"01"	18.8952957751753	10.3391538904256
"94"	7	"Lake 4"	28.06	"06"	3.57203511451183	2.17314590031622
"95"	3	"Lake 4"	12.07	"02"	9.61305391196335	7.26677420733549
"96"	8	"Lake 4"	28.06	"07"	2.22182344019462	1.9207519087657
"97"	9	"Lake 4"	28.06	"08"	3.79526069361379	3.53731269506118
"98"	10	"Lake 4"	28.06	"09"	1.76837938005624	1.69879682359977
"99"	11	"Lake 4"	28.06	"10"	3.86396113035652	2.29065425094676
"100"	4	"Lake 4"	12.07	"03"	8.13235328674048	4.98562814109268
"101"	13	"Lake 2"	12.07	"0"	15.1297848514585	6.41483714126849
"102"	14	"Lake 2"	12.07	"01"	10.3626445504532	5.95839639186567
"103"	15	"Lake 2"	12.07	"02"	5.76527456732462	3.70402024388632
"104"	16	"Lake 2"	12.07	"03"	5.87185346262241	3.68030096795823
"105"	17	"Lake 2"	12.07	"04"	7.5894086348158	4.74077678211121
"106"	18	"Lake 2"	12.07	"05"	8.83490184704229	5.32815480717678
"107"	19	"Lake 2"	12.07	"06"	8.26367512649711	5.10781511593426
"108"	20	"Lake 2"	12.07	"07"	3.0139830989671	2.77362282305536
"109"	21	"Lake 2"	12.07	"08"	4.857411441266	3.09163456391414
"110"	22	"Lake 2"	12.07	"09"	3.06225164010386	2.17417600329233
"111"	5	"Lake 4"	12.07	"04"	5.78410109029452	4.40455522560826
"112"	23	"Lake 2"	12.07	"10"	8.57587356384985	5.81317718448468
"113"	24	"Lake 2"	12.07	"S"	9.17996503950093	3.85397253699381
"114"	25	"Lake 3"	12.07	"0"	20.225725096037	8.14806606010453
"115"	26	"Lake 3"	12.07	"01"	11.2134540225951	7.1855695023338
"116"	27	"Lake 3"	12.07	"02"	6.31833364854768	4.98720394218744
"117"	28	"Lake 3"	12.07	"03"	11.0893279005216	6.84689371462229
"118"	29	"Lake 3"	12.07	"04"	4.39182676819624	3.88637325796832
"119"	30	"Lake 3"	12.07	"05"	7.19176806876783	5.00785505081489
"120"	31	"Lake 3"	12.07	"06"	6.20655028261391	4.79484215340332
"121"	32	"Lake 3"	12.07	"07"	3.09341188235373	2.66542478561424
"122"	6	"Lake 4"	12.07	"05"	11.384934737916	7.51879254286866
"123"	33	"Lake 3"	12.07	"08"	5.61411658125096	4.49925995800138
"124"	34	"Lake 3"	12.07	"09"	6.64558831281483	3.98708579138321
"125"	35	"Lake 3"	12.07	"10"	3.67673729518776	2.99906662239986
"126"	36	"Lake 3"	12.07	"S"	10.6353977346893	4.89643251128069
"127"	37	"Lake 1"	12.07	"0"	11.2848495416399	5.04668408245534
"128"	38	"Lake 1"	12.07	"01"	9.88995596639562	5.31242274003557
"129"	39	"Lake 1"	12.07	"02"	8.31065786901206	3.85484008348562
"130"	40	"Lake 1"	12.07	"03"	10.0907455111075	3.64685337319646
"131"	41	"Lake 1"	12.07	"04"	5.99657590486327	3.00945613577262
"132"	42	"Lake 1"	12.07	"05"	6.71038682545813	3.01356423686273
"133"	7	"Lake 4"	12.07	"06"	5.47482380495219	2.54753165510673
"134"	43	"Lake 1"	12.07	"06"	3.71980634269442	2.42117764270712
"135"	44	"Lake 1"	12.07	"07"	3.35311662274732	2.36404039387049
"136"	45	"Lake 1"	12.07	"08"	4.92742849037061	2.13207252989586
"137"	46	"Lake 1"	12.07	"09"	6.14024150638141	2.95344096103431
"138"	47	"Lake 1"	12.07	"10"	4.44348327594049	1.92264910433663
"139"	48	"Lake 1"	12.07	"S"	3.75741868819635	2.8715399265686
"140"	8	"Lake 4"	12.07	"07"	4.03552216443909	3.04702801779815
"141"	9	"Lake 4"	12.07	"08"	4.83854303593998	4.44893830447262
"142"	10	"Lake 4"	12.07	"09"	2.79784055720205	2.37580689980747
"143"	11	"Lake 4"	12.07	"10"	6.55391422735086	3.29334757993583
"144"	12	"Lake 4"	12.07	"S"	5.14801894106325	3.03452226213183
